0,1 2 3 -4 -5 -6 -7 8 9 -10 -11 -12 -13 -14 15 -16 -17 -18 -19 -20 -21 -22 -23 24 -25 -26 -27 -28 29 -30 -31 -32 -33 -34 -35 -36 -37 38 -39 -40 41 42 -43 44
1,1 2 -3 4 -5 -6 -7 8 -9 10 -11 -12 -13 -14 15 -16 -17 -18 -19 -20 -21 22 -23 -24 -25 -26 -27 -28 29 -30 -31 -32 -33 -34 35 -36 -37 -38 -39 -40 41 42 -43 44
2,1 2 -3 4 -5 -6 -7 8 -9 -10 -11 12 -13 -14 15 -16 -17 -18 -19 -20 -21 -22 -23 -24 25 -26 -27 -28 29 -30 -31 -32 -33 -34 35 -36 -37 -38 -39 -40 41 42 -43 44
3,1 2 -3 4 -5 -6 -7 8 -9 -10 -11 12 -13 -14 15 -16 -17 -18 19 -20 -21 -22 -23 -24 -25 -26 -27 -28 29 -30 -31 -32 -33 -34 -35 -36 37 -38 -39 -40 41 42 -43 44
4,1 2 -3 -4 -5 -6 7 8 -9 10 -11 -12 -13 -14 15 -16 -17 18 -19 -20 -21 -22 -23 -24 -25 -26 -27 -28 29 -30 -31 -32 -33 -34 -35 -36 -37 -38 39 -40 41 42 -43 44
5,1 2 -3 4 -5 -6 -7 8 -9 -10 -11 12 -13 -14 15 -16 -17 -18 -19 -20 -21 -22 -23 -24 -25 -26 -27 28 29 -30 -31 -32 -33 -34 -35 -36 37 -38 -39 -40 41 42 -43 44
6,1 2 -3 -4 -5 -6 7 8 -9 -10 -11 12 -13 -14 15 -16 -17 -18 -19 -20 21 -22 -23 -24 -25 -26 -27 -28 29 -30 -31 -32 -33 34 -35 -36 -37 -38 -39 -40 41 42 -43 44
7,1 2 -3 -4 5 -6 -7 8 -9 -10 -11 12 -13 -14 15 -16 17 -18 -19 -20 -21 -22 -23 -24 -25 -26 -27 -28 29 -30 -31 -32 -33 -34 -35 -36 -37 -38 -39 40 41 42 -43 44
8,1 2 -3 -4 5 -6 -7 8 -9 -10 11 -12 -13 -14 15 -16 -17 -18 -19 -20 -21 -22 -23 -24 -25 26 -27 -28 29 -30 -31 -32 -33 -34 -35 36 -37 -38 -39 -40 -41 -42 -43 44
9,1 2 -3 -4 5 -6 -7 8 -9 -10 11 -12 -13 -14 15 -16 -17 -18 -19 -20 21 -22 -23 -24 -25 -26 -27 -28 29 -30 -31 32 -33 -34 -35 -36 -37 -38 -39 -40 41 -42 -43 44
